,Medium,Classification,class_color
8007,Pen and ink,Drawing,black
8009,"Collage with photograph, pencil and watercolor manuscript text.",Drawing,black
8057,Pen and ink on paper,Drawing,black
8162,"Pastel, gouche, and ink on cut-and-pasted paper mounted on cut and pasted green construction paper mounted on red construction paper",Drawing,black
13051,Pencil and colored pencil on graph paper,Drawing,black
13065,"Ink, watercolor, and pencil on paper",Drawing,black
13081,Ink on paper,Drawing,black
13100,"Cut-and-pasted printed paper and cut-and-pasted gelatin silver print with gouache, ink, and pencil additions on board",Drawing,black
13120,Pencil on paper,Drawing,black
13213,Pencil and colored pencil on lined paper,Drawing,black
13218,Gouache on paper,Drawing,black
13230,Colored pencil and ink on paper,Drawing,black
18782,Colored pencil on paper,Drawing,black
26801,Pencil on paper from the supplementary suite of four drawings accompanying the illustrated book with eighty-six lithographs (including wrapper),Drawing,black
30693,"Postcard, thread, sequins, and ink on paper from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print",Drawing,black
30699,"Crayon on paper from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print",Drawing,black
30702,"Watercolor and pencil from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print",Drawing,black
30703,"Watercolor with ink from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print",Drawing,black
31115,Gouache on acetate,Drawing,black
31526,Pencil and chalk on paper,Drawing,black
31528,Tempera on paper over composition board,Drawing,black
31529,Pencil and charcoal on paper,Drawing,black
31531,Crayon on paper,Drawing,black
31532,Oil on board,Drawing,black
31534,Gouache and ink on paper,Drawing,black
31535,Monotype with pencil additions,Drawing,black
31536,Ink on mulberry paper,Drawing,black
31537,Graphite on paper,Drawing,black
31540,Watercolor and pencil on paper,Drawing,black
31541,"Watercolor, crayon, charcoal, and pencil on paper",Drawing,black
31542,Charcoal on paper,Drawing,black
31545,"Watercolor, gouache and pencil on paper",Drawing,black
31550,"Gouache, watercolor, crayon, charcoal, ink, and pencil on paper",Drawing,black
31551,Cut-and-pasted gelatin silver prints on lithograph with letterpress,Drawing,black
31552,Tempera on mulberry paper,Drawing,black
31553,Watercolor on paper,Drawing,black
31556,Cut-and-pasted printed and painted paper on printed paper,Drawing,black
31557,Pencil  and colored pencil on paper,Drawing,black
