,Medium,Classification,Title,Artist,ConstituentID,ThumbnailURL,class_color
8009,"Collage with photograph, pencil and watercolor manuscript text.",Drawing,Valia Zdanevich,Aleksei Kruchenykh,3263,http://www.moma.org/media/W1siZiIsIjY3OTM4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8be92eecdd1572ab,black
13051,Pencil and colored pencil on graph paper,Drawing,Study for cover of Novyi LEF (New LEF),Aleksandr Rodchenko,4975,http://www.moma.org/media/W1siZiIsIjY4MTcxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=37a96ae21082966a,black
13065,"Ink, watercolor, and pencil on paper",Drawing,Dimensional Curve Interlace,Iakov Chernikhov,1093,http://www.moma.org/media/W1siZiIsIjIwODU5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8cb1d2a9f7fa56a3,black
13100,"Cut-and-pasted printed paper and cut-and-pasted gelatin silver print with gouache, ink, and pencil additions on board",Drawing,Maquette for cover of Agronomy,Kirill Zdanevich,11875,http://www.moma.org/media/W1siZiIsIjI2NDgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0e47dd8e658035e1,black
13213,Pencil and colored pencil on lined paper,Drawing,Study for cover of Sovremennaia Arkhitektura (Contemporary Architecture),Varvara Stepanova,5643,http://www.moma.org/media/W1siZiIsIjIwODYzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=982e32a5f6c05296,black
13218,Gouache on paper,Drawing,Study for Tribun Poetov (Tribune of Poets),Kirill Zdanevich,11875,http://www.moma.org/media/W1siZiIsIjI2NDgxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e16ca78acdbeb57,black
13230,Colored pencil and ink on paper,Drawing,Manuscript of Rekord nezhnosti: Zhitie Il'ia Zdanevicha (Record of Tenderness: Hagiography of Il'ia Zdanevich),Igor' Terent'ev,12509,http://www.moma.org/media/W1siZiIsIjI2NjI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a2ea833e1be3178,black
31115,Gouache on acetate,Drawing,Preparatory drawing for In Memory of My Feelings,Lee Krasner,3240,http://www.moma.org/media/W1siZiIsIjMwOTA1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=39650a93db981056,black
31526,Pencil and chalk on paper,Drawing,Pavlova's Foot,Savely Sorine,5531,http://www.moma.org/media/W1siZiIsIjMzNTA2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b3c58d48b48b8c04,black
31528,Tempera on paper over composition board,Drawing,Pacific Landscape,Ben Shahn,5366,http://www.moma.org/media/W1siZiIsIjIyNTIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1cc4f79af7793a73,black
31532,Oil on board,Drawing,On the Beach of Trestrignel,Maurice Denis,1492,http://www.moma.org/media/W1siZiIsIjEwNTg3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=04e7c3abc81d9f42,black
31534,Gouache and ink on paper,Drawing,Costume design for the ballet The Minotaur,Joan Junyer,2956,http://www.moma.org/media/W1siZiIsIjQzMTIxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07c5b9958eaa7544,black
31535,Monotype with pencil additions,Drawing,Music on the Gallery,Romare Bearden,412,http://www.moma.org/media/W1siZiIsIjIwNzk3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd3250faa70cffb2,black
31541,"Watercolor, crayon, charcoal, and pencil on paper",Drawing,Garden of Memories,Charles Burchfield,870,http://www.moma.org/media/W1siZiIsIjI1NjcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=75423ca31f0bf75a,black
31545,"Watercolor, gouache and pencil on paper",Drawing,Blue Horse with Rainbow (Blaues Pferd mit Regenbogen),Franz Marc,3748,http://www.moma.org/media/W1siZiIsIjEzNTE4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d089636936f952b5,black
31550,"Gouache, watercolor, crayon, charcoal, ink, and pencil on paper",Drawing,Insects at Twilight,Charles Burchfield,870,http://www.moma.org/media/W1siZiIsIjI0NDkzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=139aa02d02853c97,black
